Player, POS, Age, Team, G, MP, PER, TS%, 3PAr, FTr, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV%, USG%, , OWS, DWS, WS, WS48, , OBPM, DBPM, BPM, VORP
Devin Booker,SG,21,PHO,43,1463,18.5,0.564,0.365,0.32,1.4,12.9,7,25.7,1.3,0.6,14.4,31.2,0,1.8,0.4,2.3,0.075,0,3.1,-2.3,0.8,1
Devin Harris,PG,34,TOT,45,829,13.6,0.56,0.44,0.392,1.2,10.9,5.9,16.2,2.1,0.9,13,21.5,0,0.7,0.8,1.5,0.087,0,-0.4,-0.9,-1.2,0.2
Dewayne Dedmon,C,28,ATL,38,889,17.3,0.631,0.258,0.194,8.6,28.1,18.3,10.2,1.1,2.6,14.4,17.5,0,1.6,0.9,2.5,0.138,0,0.2,0.9,1.1,0.7
Deyonta Davis,C,21,MEM,38,484,18.2,0.643,0,0.261,10,22.4,16.1,6.8,1.1,5.2,12.8,16.1,0,1,0.6,1.6,0.161,0,-1.2,1.5,0.3,0.3
Dillon Brooks,SF,22,MEM,55,1537,8.5,0.542,0.356,0.179,2.3,10.8,6.5,7.5,1.5,0.8,13.6,15.5,0,0.1,1,1.1,0.036,0,-2.1,-0.5,-2.6,-0.2
Dion Waiters,SG,26,MIA,30,918,10.7,0.487,0.415,0.168,1,8.6,4.8,20.5,1.3,0.8,13.7,25.2,0,-0.7,0.8,0.1,0.006,0,-2,-1.8,-3.8,-0.4
Dirk Nowitzki,C,39,DAL,56,1398,17.5,0.582,0.409,0.159,1.6,24.7,12.7,10.3,1.3,1.7,5.6,20.5,0,2.3,1.6,3.9,0.133,0,0.6,0.2,0.7,1
Domantas Sabonis,C,21,IND,55,1395,18.1,0.576,0.054,0.36,11.2,25.3,18.4,12.8,1,1.6,15.9,22.2,0,2.2,1.5,3.7,0.129,0,-0.3,0.3,-0.1,0.7
Donovan Mitchell,SG,21,UTA,53,1690,17.1,0.55,0.398,0.199,2.2,10.1,6.1,18.9,2.3,1.1,12.9,28.8,0,1.1,2,3,0.086,0,1.4,-0.7,0.8,1.2
Dorian Finney-Smith,PF,24,DAL,8,94,5.3,0.568,0.636,0.091,5.8,6.2,6,7.8,0,1,23.4,14.5,0,0,0,0,-0.005,0,-2.9,-2.1,-5,-0.1
